Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2001-01-01,,,,1000.0,,,,,
2001-01-02,,,,973.1,,,,,
2001-01-03,,,,974.49,,,,,
2001-01-04,,,,966.84,,,,,
2001-01-05,,,,986.32,,,,,
2001-01-08,,,,984.7,,,,,
2001-01-09,,,,987.07,,,,,
2001-01-10,,,,984.94,,,,,
2001-01-11,,,,983.14,,,,,
2001-01-12,,,,966.52,,,,,
2001-01-15,,,,972.39,,,,,
2001-01-16,,,,965.4,,,,,
2001-01-17,,,,964.76,,,,,
2001-01-18,,,,965.19,,,,,
2001-01-19,,,,964.77,,,,,
2001-01-22,,,,982.81,,,,,
2001-01-23,,,,971.96,,,,,
2001-01-24,,,,979.61,,,,,
2001-01-25,,,,966.45,,,,,
2001-01-29,,,,943.66,,,,,
2001-01-30,,,,973.52,,,,,
2001-01-31,,,,986.97,,,,,
2001-02-01,,,,981.14,,,,,
2001-02-02,,,,997.31,,,,,
2001-02-05,,,,1000.43,,,,,
2001-02-06,,,,1002.35,,,,,
2001-02-07,,,,1009.97,,,,,
2001-02-08,,,,1007.45,,,,,
2001-02-09,,,,1020.43,,,,,
2001-02-12,,,,1033.97,,,,,
2001-02-13,,,,1025.21,,,,,
2001-02-14,,,,1022.08,,,,,
2001-02-15,,,,1020.29,,,,,
2001-02-16,,,,1007.43,,,,,
2001-02-19,,,,1002.75,,,,,
2001-02-20,,,,998.69,,,,,
2001-02-21,,,,993.2,,,,,
2001-02-22,,,,988.08,,,,,
2001-02-23,,,,970.31,,,,,
2001-02-26,,,,971.22,,,,,
2001-02-27,,,,976.13,,,,,
2001-02-28,,,,981.72,,,,,
2001-03-01,,,,1012.89,,,,,
2001-03-02,,,,994.07,,,,,
2001-03-05,,,,986.25,,,,,
2001-03-07,,,,975.23,,,,,
2001-03-08,,,,964.22,,,,,
2001-03-09,,,,946.16,,,,,
2001-03-12,,,,906.09,,,,,
2001-03-13,,,,863.86,,,,,
2001-03-14,,,,879.62,,,,,
2001-03-15,,,,916.25,,,,,
2001-03-16,,,,900.32,,,,,
2001-03-19,,,,892.12,,,,,
2001-03-20,,,,893.83,,,,,
2001-03-21,,,,907.6,,,,,
2001-03-22,,,,912.08,,,,,
2001-03-23,,,,887.73,,,,,
2001-03-26,,,,876.29,,,,,
2001-03-27,,,,889.59,,,,,
2001-03-28,,,,916.5,,,,,
2001-03-29,,,,899.18,,,,,
2001-03-30,,,,874.9,,,,,
2001-04-02,,,,836.34,,,,,
2001-04-03,,,,858.13,,,,,
2001-04-04,,,,852.07,,,,,
2001-04-06,,,,817.11,,,,,
2001-04-09,,,,809.91,,,,,
2001-04-10,,,,799.53,,,,,
2001-04-11,,,,763.5,,,,,
2001-04-12,,,,749.71,,,,,
2001-04-16,,,,749.18,,,,,
2001-04-17,,,,774.39,,,,,
2001-04-18,,,,813.03,,,,,
2001-04-19,,,,844.61,,,,,
2001-04-20,,,,862.2,,,,,
2001-04-23,,,,852.24,,,,,
2001-04-24,,,,862.42,,,,,
2001-04-25,,,,854.55,,,,,
2001-04-26,,,,848.3,,,,,
2001-04-27,,,,830.92,,,,,
2001-04-30,,,,844.92,,,,,
2001-05-02,,,,841.39,,,,,
2001-05-03,,,,824.66,,,,,
2001-05-04,,,,840.25,,,,,
2001-05-07,,,,841.08,,,,,
2001-05-08,,,,843.78,,,,,
2001-05-09,,,,854.21,,,,,
2001-05-10,,,,852.93,,,,,
2001-05-11,,,,839.7,,,,,
2001-05-14,,,,846.84,,,,,
2001-05-15,,,,836.52,,,,,
2001-05-16,,,,856.8,,,,,
2001-05-17,,,,862.6,,,,,
2001-05-18,,,,861.76,,,,,
2001-05-21,,,,856.14,,,,,
2001-05-22,,,,875.12,,,,,
2001-05-23,,,,876.54,,,,,
2001-05-24,,,,867.44,,,,,
2001-05-25,,,,853.62,,,,,
2001-05-28,,,,865.28,,,,,
2001-05-29,,,,871.45,,,,,
2001-05-30,,,,876.03,,,,,
2001-05-31,,,,878.83,,,,,
2001-06-01,,,,873.52,,,,,
2001-06-04,,,,870.82,,,,,
2001-06-05,,,,855.01,,,,,
2001-06-06,,,,857.87,,,,,
2001-06-07,,,,848.95,,,,,
2001-06-08,,,,850.02,,,,,
2001-06-11,,,,861.37,,,,,
2001-06-12,,,,863.35,,,,,
2001-06-13,,,,863.17,,,,,
2001-06-14,,,,859.33,,,,,
2001-06-15,,,,842.08,,,,,
2001-06-18,,,,833.55,,,,,
2001-06-19,,,,837.86,,,,,
2001-06-20,,,,842.67,,,,,
2001-06-21,,,,842.19,,,,,
2001-06-22,,,,846.08,,,,,
2001-06-25,,,,839.45,,,,,
2001-06-26,,,,869.03,,,,,
2001-06-27,,,,857.52,,,,,
2001-06-28,,,,861.79,,,,,
2001-06-29,,,,858.7,,,,,
2001-07-02,,,,847.8,,,,,
2001-07-03,,,,833.52,,,,,
2001-07-04,,,,830.71,,,,,
2001-07-05,,,,823.22,,,,,
2001-07-06,,,,830.51,,,,,
2001-07-09,,,,837.0,,,,,
2001-07-10,,,,854.23,,,,,
2001-07-11,,,,869.83,,,,,
2001-07-12,,,,871.21,,,,,
2001-07-13,,,,879.89,,,,,
2001-07-16,,,,865.78,,,,,
2001-07-17,,,,860.88,,,,,
2001-07-18,,,,854.89,,,,,
2001-07-19,,,,858.49,,,,,
2001-07-20,,,,844.34,,,,,
2001-07-23,,,,855.97,,,,,
2001-07-24,,,,859.23,,,,,
2001-07-25,,,,841.09,,,,,
2001-07-26,,,,850.54,,,,,
2001-07-27,,,,840.59,,,,,
2001-07-30,,,,858.61,,,,,
2001-07-31,,,,860.35,,,,,
2001-08-01,,,,873.64,,,,,
2001-08-02,,,,870.87,,,,,
2001-08-03,,,,880.46,,,,,
2001-08-06,,,,889.61,,,,,
2001-08-07,,,,893.03,,,,,
2001-08-08,,,,893.79,,,,,
2001-08-09,,,,891.64,,,,,
2001-08-10,,,,876.42,,,,,
2001-08-13,,,,872.69,,,,,
2001-08-14,,,,882.25,,,,,
2001-08-16,,,,866.74,,,,,
2001-08-17,,,,881.53,,,,,
2001-08-20,,,,872.57,,,,,
2001-08-21,,,,877.18,,,,,
2001-08-23,,,,904.88,,,,,
2001-08-24,,,,919.94,,,,,
2001-08-27,,,,920.13,,,,,
2001-08-28,,,,933.75,,,,,
2001-08-29,,,,934.8,,,,,
2001-08-30,,,,933.57,,,,,
2001-08-31,,,,922.95,,,,,
2001-09-03,,,,927.84,,,,,
2001-09-04,,,,921.1,,,,,
2001-09-05,,,,966.9,,,,,
2001-09-06,,,,981.65,,,,,
2001-09-07,,,,992.87,,,,,
2001-09-10,,,,989.0,,,,,
2001-09-11,,,,979.26,,,,,
2001-09-12,,,,968.85,,,,,
2001-09-13,,,,939.14,,,,,
2001-09-14,,,,898.5,,,,,
2001-09-17,,,,871.29,,,,,
2001-09-18,,,,906.41,,,,,
2001-09-19,,,,934.43,,,,,
2001-09-20,,,,922.47,,,,,
2001-09-21,,,,904.07,,,,,
2001-09-24,,,,890.38,,,,,
2001-09-25,,,,883.54,,,,,
2001-09-26,,,,890.87,,,,,
2001-09-27,,,,897.48,,,,,
2001-09-28,,,,907.57,,,,,
2001-10-01,,,,904.27,,,,,
2001-10-03,,,,896.07,,,,,
2001-10-04,,,,906.91,,,,,
2001-10-05,,,,920.23,,,,,
2001-10-08,,,,906.29,,,,,
2001-10-09,,,,914.49,,,,,
2001-10-10,,,,921.72,,,,,
2001-10-11,,,,911.03,,,,,
2001-10-12,,,,916.91,,,,,
2001-10-15,,,,929.94,,,,,
2001-10-16,,,,927.92,,,,,
2001-10-17,,,,952.51,,,,,
2001-10-18,,,,947.99,,,,,
2001-10-19,,,,968.08,,,,,
2001-10-22,,,,945.13,,,,,
2001-10-23,,,,960.04,,,,,
2001-10-24,,,,985.26,,,,,
2001-10-25,,,,996.09,,,,,
2001-10-29,,,,975.28,,,,,
2001-10-30,,,,970.74,,,,,
2001-10-31,,,,971.89,,,,,
2001-11-01,,,,997.33,,,,,
2001-11-02,,,,984.92,,,,,
2001-11-05,,,,980.01,,,,,
2001-11-06,,,,993.38,,,,,
2001-11-07,,,,985.44,,,,,
2001-11-08,,,,1001.85,,,,,
2001-11-09,,,,999.72,,,,,
2001-11-12,,,,994.4,,,,,
2001-11-13,,,,987.86,,,,,
2001-11-14,,,,994.24,,,,,
2001-11-15,,,,1007.74,,,,,
2001-11-19,,,,982.56,,,,,
2001-11-20,,,,956.11,,,,,
2001-11-21,,,,963.26,,,,,
2001-11-22,,,,978.43,,,,,
2001-11-23,,,,974.31,,,,,
2001-11-26,,,,978.74,,,,,
2001-11-27,,,,995.02,,,,,
2001-11-28,,,,1001.86,,,,,
2001-11-29,,,,1000.14,,,,,
2001-12-03,,,,1002.54,,,,,
2001-12-04,,,,1000.62,,,,,
2001-12-05,,,,1014.08,,,,,
2001-12-06,,,,1006.87,,,,,
2001-12-07,,,,1006.88,,,,,
2001-12-10,,,,1014.86,,,,,
2001-12-11,,,,1015.23,,,,,
2001-12-12,,,,1015.9,,,,,
2001-12-13,,,,1021.42,,,,,
2001-12-14,,,,1016.91,,,,,
2001-12-18,,,,1011.93,,,,,
2001-12-19,,,,992.04,,,,,
2001-12-20,,,,985.93,,,,,
2001-12-21,,,,981.3,,,,,
